ID,Street Sign,Street Address,Sign Condition,Number of Tiles Damaged,Grout Condition,Type of Wall,Building Occupant,Title Owner on Builder,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5
66,Calle D'Conti,"1001 Conti St, New Orleans, LA 70112, USA",Faded/Cracked Polish,0,Bad Condition,Masonry,Multi Family Residential,,Inventory_Images/66.Photo 1.195259.jpg,Inventory_Images/66.Photo 2.195259.jpg,Inventory_Images/66.Photo 3.195259.jpg,,
67,Calle D'San Luis,"1000 St Louis St, New Orleans, LA 70112, USA",Falling Apart,14,,Brick with Stucco,Multi Family Residential,,Inventory_Images/67.Photo 1.134901.jpg,Inventory_Images/67.Photo 2.134901.jpg,Inventory_Images/67.Photo 3.134901.jpg,,
68,Calle D'Bourbon,"440 Bourbon St, New Orleans, LA 70130, USA",Faded/Cracked Polish,6,,Brick,Fat Catz and Multi Use,Fat Catz Music Club,Inventory_Images/68.Photo 1.134317.jpg,Inventory_Images/68.Photo 2.134317.jpg,,,
69,Calle D'San Luis,"501 Royal St, New Orleans, LA 70130, USA",Good Condition,0,Bad Condition,Brick,Maison Royale Antiques/Jewelry,"Antoines Properties, LLC",Inventory_Images/69.Photo 1.134921.jpg,Inventory_Images/69.Photo 2.134921.jpg,Inventory_Images/69.Photo 3.134921.jpg,,
70,Calle Real,"621 St Louis St, New Orleans, LA 70130, USA",,,,,Omni Royal Orleans Hotel,"Royal Orleans Holdings, LLC",,,,,
71,Calle D'San Luis,"500 Chartres St, New Orleans, LA 70130, USA",Faded/Cracked Polish,4,Bad Condition,Masonry,Napoleon House,,Inventory_Images/71.Photo 1.134938.jpg,Inventory_Images/71.Photo 2.134938.jpg,,,
72,Calle Del Tolosa,"601 Bourbon St, New Orleans, LA 70130, USA",Faded/Cracked Polish,4,Bad Condition,Masonry,Chartres House Restaurant,"K & L Investments, LLC",Inventory_Images/72.Photo 1.135730.jpg,Inventory_Images/72.Photo 2.135730.jpg,,,
73,Calle Del Tolosa,"906 Toulouse St, New Orleans, LA 70112, USA",Faded/Cracked Polish,6,Bad Condition,Brick with Stucco,Multi Use,"ZOMA, LLC",Inventory_Images/73.Photo 1.135751.jpg,Inventory_Images/73.Photo 2.135751.jpg,,,
74,Calle D'Bourbon,"610 Bourbon St, New Orleans, LA 70130, USA",Faded/Cracked Polish,5,,Masonry with Stucco,Tropical Isle Restaurant and Bar,"Mammum, LLC",Inventory_Images/74.Photo 1.134334.jpg,Inventory_Images/74.Photo 2.134334.jpg,,,
75,Calle Del Tolosa,"1000 Toulouse St, New Orleans, LA 70112, USA",Falling Apart,18,Bad Condition,Brick with Stucco,Multi Use,"Zoma, LLC",Inventory_Images/75.Photo 1.135807.jpg,Inventory_Images/75.Photo 2.135807.jpg,,,
